x y
60 15
75 15
90 15
105 15
120 15
135 15
150 15
165 15
180 15
195 15
210 15
225 15
240 15
255 15
270 15
285 15
300 15
315 15
330 15
60 30
75 30
90 30
105 30
120 30
135 30
150 30
165 30
180 30
195 30
210 30
225 30
240 30
255 30
270 30
285 30
300 30
315 30
330 30
60 45
75 45
90 45
105 45
120 45
135 45
150 45
165 45
180 45
195 45
210 45
225 45
240 45
255 45
270 45
285 45
300 45
315 45
330 45
60 60
75 60
90 60
105 60
120 60
135 60
150 60
165 60
180 60
195 60
210 60
225 60
240 60
255 60
270 60
285 60
300 60
315 60
330 60
60 75
75 75
90 75
105 75
120 75
135 75
150 75
165 75
180 75
195 75
210 75
225 75
240 75
255 75
270 75
285 75
300 75
315 75
330 75
60 90
75 90
90 90
105 90
120 90
135 90
150 90
165 90
180 90
195 90
210 90
225 90
240 90
255 90
270 90
285 90
300 90
315 90
330 90
60 105
75 105
90 105
105 105
120 105
135 105
150 105
165 105
180 105
195 105
210 105
225 105
240 105
255 105
270 105
285 105
300 105
315 105
330 105
60 120
75 120
90 120
105 120
120 120
135 120
150 120
165 120
180 120
195 120
210 120
225 120
240 120
255 120
270 120
285 120
300 120
315 120
330 120
60 135
75 135
90 135
105 135
120 135
135 135
150 135
165 135
180 135
195 135
210 135
225 135
240 135
255 135
270 135
285 135
300 135
315 135
330 135
60 150
75 150
90 150
105 150
120 150
135 150
150 150
165 150
180 150
195 150
210 150
225 150
240 150
255 150
270 150
285 150
300 150
315 150
330 150
60 165
75 165
90 165
105 165
120 165
135 165
150 165
165 165
180 165
195 165
210 165
225 165
240 165
255 165
270 165
285 165
300 165
315 165
330 165
60 180
75 180
90 180
105 180
120 180
135 180
150 180
165 180
180 180
195 180
210 180
225 180
240 180
255 180
270 180
285 180
300 180
315 180
330 180
60 195
75 195
90 195
105 195
120 195
135 195
150 195
165 195
180 195
195 195
210 195
225 195
240 195
255 195
270 195
285 195
300 195
315 195
330 195
60 210
75 210
90 210
105 210
120 210
135 210
150 210
165 210
180 210
195 210
210 210
225 210
240 210
255 210
270 210
285 210
300 210
315 210
330 210
60 225
75 225
90 225
105 225
120 225
135 225
150 225
165 225
180 225
195 225
210 225
225 225
240 225
255 225
270 225
285 225
300 225
315 225
330 225
60 240
75 240
90 240
105 240
120 240
135 240
150 240
165 240
180 240
195 240
210 240
225 240
240 240
255 240
270 240
285 240
300 240
315 240
330 240
60 255
75 255
90 255
105 255
120 255
135 255
150 255
165 255
180 255
195 255
210 255
225 255
240 255
255 255
270 255
285 255
300 255
315 255
330 255
60 270
75 270
90 270
105 270
120 270
135 270
150 270
165 270
180 270
195 270
210 270
225 270
240 270
255 270
270 270
285 270
300 270
315 270
330 270
60 285
75 285
90 285
105 285
120 285
135 285
150 285
165 285
180 285
195 285
210 285
225 285
240 285
255 285
270 285
285 285
300 285
315 285
330 285
60 300
75 300
90 300
105 300
120 300
135 300
150 300
165 300
180 300
195 300
210 300
225 300
240 300
255 300
270 300
285 300
300 300
315 300
330 300
60 315
75 315
90 315
105 315
120 315
135 315
150 315
165 315
180 315
195 315
210 315
225 315
240 315
255 315
270 315
285 315
300 315
315 315
330 315
60 330
75 330
90 330
105 330
120 330
135 330
150 330
165 330
180 330
195 330
210 330
225 330
240 330
255 330
270 330
285 330
300 330
315 330
330 330
60 345
75 345
90 345
105 345
120 345
135 345
150 345
165 345
180 345
195 345
210 345
225 345
240 345
255 345
270 345
285 345
300 345
315 345
330 345
60 360
75 360
90 360
105 360
120 360
135 360
150 360
165 360
180 360
195 360
210 360
225 360
240 360
255 360
270 360
285 360
300 360
315 360
330 360
60 375
75 375
90 375
105 375
120 375
135 375
150 375
165 375
180 375
195 375
210 375
225 375
240 375
255 375
270 375
285 375
300 375
315 375
330 375
60 390
75 390
90 390
105 390
120 390
135 390
150 390
165 390
180 390
195 390
210 390
225 390
240 390
255 390
270 390
285 390
300 390
315 390
330 390
60 405
75 405
90 405
105 405
120 405
135 405
150 405
165 405
180 405
195 405
210 405
225 405
240 405
255 405
270 405
285 405
300 405
315 405
330 405
60 420
75 420
90 420
105 420
120 420
135 420
150 420
165 420
180 420
195 420
210 420
225 420
240 420
255 420
270 420
285 420
300 420
315 420
330 420
60 435
75 435
90 435
105 435
120 435
135 435
150 435
165 435
180 435
195 435
210 435
225 435
240 435
255 435
270 435
285 435
300 435
315 435
330 435
60 450
75 450
90 450
105 450
120 450
135 450
150 450
165 450
180 450
195 450
210 450
225 450
240 450
255 450
270 450
285 450
300 450
315 450
330 450
60 465
75 465
90 465
105 465
120 465
135 465
150 465
165 465
180 465
195 465
210 465
225 465
240 465
255 465
270 465
285 465
300 465
315 465
330 465
60 480
75 480
90 480
105 480
120 480
135 480
240 480
255 480
270 480
285 480
300 480
315 480
330 480
60 495
75 495
90 495
105 495
120 495
255 495
270 495
285 495
300 495
315 495
330 495
60 510
75 510
90 510
105 510
120 510
270 510
285 510
300 510
315 510
330 510
60 525
75 525
90 525
105 525
120 525
270 525
285 525
300 525
315 525
330 525
60 540
75 540
90 540
105 540
120 540
270 540
285 540
300 540
315 540
330 540
60 555
75 555
90 555
105 555
120 555
270 555
285 555
300 555
315 555
330 555
60 570
75 570
90 570
105 570
120 570
270 570
285 570
300 570
315 570
330 570
60 585
75 585
90 585
105 585
120 585
255 585
270 585
285 585
300 585
315 585
330 585
60 600
75 600
90 600
105 600
120 600
135 600
255 600
270 600
285 600
300 600
315 600
330 600
60 615
75 615
90 615
105 615
120 615
135 615
150 615
165 615
180 615
195 615
210 615
225 615
240 615
255 615
270 615
285 615
300 615
315 615
330 615
60 630
75 630
90 630
105 630
120 630
135 630
150 630
165 630
180 630
195 630
210 630
225 630
240 630
255 630
270 630
285 630
300 630
315 630
330 630
60 645
75 645
90 645
105 645
120 645
135 645
150 645
165 645
180 645
195 645
210 645
225 645
240 645
255 645
270 645
285 645
300 645
315 645
330 645
60 660
75 660
90 660
105 660
120 660
135 660
150 660
165 660
180 660
195 660
210 660
225 660
240 660
255 660
270 660
285 660
300 660
315 660
330 660
60 675
75 675
90 675
105 675
120 675
135 675
150 675
165 675
180 675
195 675
210 675
225 675
240 675
255 675
270 675
285 675
300 675
315 675
330 675
60 690
75 690
90 690
105 690
120 690
135 690
150 690
165 690
180 690
195 690
210 690
225 690
240 690
255 690
270 690
285 690
300 690
315 690
330 690
60 705
75 705
90 705
105 705
120 705
135 705
150 705
165 705
180 705
195 705
210 705
225 705
240 705
255 705
270 705
285 705
300 705
315 705
330 705
60 720
75 720
90 720
105 720
120 720
135 720
150 720
165 720
180 720
195 720
210 720
225 720
240 720
255 720
270 720
285 720
300 720
315 720
330 720
60 735
75 735
90 735
105 735
120 735
135 735
150 735
165 735
180 735
195 735
210 735
225 735
240 735
255 735
270 735
285 735
300 735
315 735
330 735
60 750
75 750
90 750
105 750
120 750
135 750
150 750
165 750
180 750
195 750
210 750
225 750
240 750
255 750
270 750
285 750
300 750
315 750
330 750
60 765
75 765
90 765
105 765
120 765
135 765
150 765
165 765
180 765
195 765
210 765
225 765
240 765
255 765
270 765
285 765
300 765
315 765
330 765
60 780
75 780
90 780
105 780
120 780
135 780
150 780
165 780
180 780
195 780
210 780
225 780
240 780
255 780
270 780
285 780
300 780
315 780
330 780
60 795
75 795
90 795
105 795
120 795
135 795
150 795
165 795
180 795
195 795
210 795
225 795
240 795
255 795
270 795
285 795
300 795
315 795
330 795
60 810
75 810
90 810
105 810
120 810
135 810
150 810
165 810
180 810
195 810
210 810
225 810
240 810
255 810
270 810
285 810
300 810
315 810
330 810
60 825
75 825
90 825
105 825
120 825
135 825
150 825
165 825
180 825
195 825
210 825
225 825
240 825
255 825
270 825
285 825
300 825
315 825
330 825
60 840
75 840
90 840
105 840
120 840
135 840
150 840
165 840
180 840
195 840
210 840
225 840
240 840
255 840
270 840
285 840
300 840
315 840
330 840
60 855
75 855
90 855
105 855
120 855
135 855
150 855
165 855
180 855
195 855
210 855
225 855
240 855
255 855
270 855
285 855
300 855
315 855
330 855
60 870
75 870
90 870
105 870
120 870
135 870
150 870
165 870
180 870
195 870
210 870
225 870
240 870
255 870
270 870
285 870
300 870
315 870
330 870
60 885
75 885
90 885
105 885
120 885
135 885
150 885
165 885
180 885
195 885
210 885
225 885
240 885
255 885
270 885
285 885
300 885
315 885
330 885
60 900
75 900
90 900
105 900
120 900
135 900
150 900
165 900
180 900
195 900
210 900
225 900
240 900
255 900
270 900
285 900
300 900
315 900
330 900
60 915
75 915
90 915
105 915
120 915
135 915
150 915
165 915
180 915
195 915
210 915
225 915
240 915
255 915
270 915
285 915
300 915
315 915
330 915
60 930
75 930
90 930
105 930
120 930
135 930
150 930
165 930
180 930
195 930
210 930
225 930
240 930
255 930
270 930
285 930
300 930
315 930
330 930
60 945
75 945
90 945
105 945
120 945
135 945
150 945
165 945
180 945
195 945
210 945
225 945
240 945
255 945
270 945
285 945
300 945
315 945
330 945
60 960
75 960
90 960
105 960
120 960
135 960
150 960
165 960
180 960
195 960
210 960
225 960
240 960
255 960
270 960
285 960
300 960
315 960
330 960
60 975
75 975
90 975
105 975
120 975
135 975
150 975
165 975
180 975
195 975
210 975
225 975
240 975
255 975
270 975
285 975
300 975
315 975
330 975
60 990
75 990
90 990
105 990
120 990
135 990
150 990
165 990
180 990
195 990
210 990
225 990
240 990
255 990
270 990
285 990
300 990
315 990
330 990
60 1005
75 1005
90 1005
105 1005
120 1005
135 1005
150 1005
165 1005
180 1005
195 1005
210 1005
225 1005
240 1005
255 1005
270 1005
285 1005
300 1005
315 1005
330 1005
60 1020
75 1020
90 1020
105 1020
120 1020
135 1020
150 1020
165 1020
180 1020
195 1020
210 1020
225 1020
240 1020
255 1020
270 1020
285 1020
300 1020
315 1020
330 1020
